DISPATCH LOCATION NAME,FPU,CALLBACK DELAY,LATITUDE,LONGITUDE,,
Buck Meadows Station,CA_CA_007,60,37.82218,-120.09762,,
CA_CA_007Supervisors Office,CA_CA_007,60,37.98317,-120.36483,,
Castle Rock CDF,CA_CA_007,0,37.712,-121.528,,
Catheys Valley CDF,CA_CA_007,0,37.415,-120.677,,
Cherry Station,CA_CA_007,60,37.97592,-119.92101,,
Clearwater Station,CA_CA_007,60,37.23198,-119.36501,,
Coarsegold CDF,CA_CA_007,0,37.252,-119.704,,
Columbia Air Base,CA_CA_007,0,38.039,-120.4086,,
Columbia College (temporary),CA_CA_007,60,38.0321,-120.3882,,
Copperopolis CDF,CA_CA_007,60,37.9817,-120.6423,,
Cottonwood Station (temporary),CA_CA_007,60,37.9989,-120.2307,,
Coulterville CDF,CA_CA_007,0,37.7239,-120.2026,,
Crane Flat,CA_CA_007,60,37.7599,-119.82061,,
Del Puerto CDF,CA_CA_007,0,37.46,-121.185,,
Dinkey Station,CA_CA_007,60,37.06418,-119.15484,,
Dorrington Station,CA_CA_007,60,38.31965,-120.25869,,
Douglas Station,CA_CA_007,60,37.23731,-119.4803,,
Dry Meadow Station,CA_CA_007,60,38.22833,-120.12632,,
El Portal,CA_CA_007,60,37.67465,-119.78375,,
Esperanza CDF,CA_CA_007,0,38.2424,-120.5097,,
Fresno Airport,CA_CA_007,60,36.7708,-119.719,,
Green Springs CDF,CA_CA_007,0,37.836,-120.504,,
Groveland CDF,CA_CA_007,0,37.837,-120.242,,
Hathaway Pines,CA_CA_007,60,38.2,-120.363,,
Hodgdon Meadow,CA_CA_007,60,37.7975,-119.86181,,
Hornitos CDF,CA_CA_007,0,37.513,-120.2399,,
Hurley CDF,CA_CA_007,0,37.015,-119.57,,
Jerseydale Station,CA_CA_007,60,37.54417,-119.8338,,
Kinsley Station,CA_CA_007,60,37.69793,-119.98401,,
Long Barn Station,CA_CA_007,60,38.09392,-120.13402,,
Los Banos CDF,CA_CA_007,0,37.064,-121.06,,
Mariposa CDF,CA_CA_007,0,37.5011,-119.9862,,
Mariposa Helibase,CA_CA_007,60,37.5108,-120.04054,,
McDiarmid Station,CA_CA_007,60,37.71895,-120.09882,,
MER Shop,CA_CA_007,60,37.1775,-120.67222,,
Merced CDF,CA_CA_007,0,37.2908,-120.4862,,
Mid Pines Station,CA_CA_007,60,37.54055,-119.91877,,
Minarets Workcenter,CA_CA_007,60,37.40932,-119.34923,,
